Event number,event_uuid,start_time,end_time,Primary category,Rally Shot Type,Z Game Number,Receiving Location,Won By,Result Type,Server,Serving Location
281,1fa35598-fdb3-4390-8b48-7f5ec66823e0,392.685,397.685,Player A Zone 5,Serve,Game 2,Player B Zone 7,,,Player A,Left
282,c0ce3738-ff08-4142-92b3-1868717b7bfa,394.195,399.195,Player B Zone 7,Drop,Game 2,Player A Zone 1,,,Player A,Left
283,9840a769-692f-431d-bdd0-c3bf4c9add98,395.047,400.047,Player A Zone 1,Net Shot,Game 2,Player B Zone 3,,,Player A,Left
284,43717ddf-0356-4ed2-9658-d33bb7d4b9c2,396.288,401.288,Player B Zone 3,Lift,Game 2,Player A Zone 7,,,Player A,Left
285,118888b4-4b26-442e-b586-61bd95bdbb01,397.329,402.329,Player A Zone 7,Clear,Game 2,Player B Zone 8,,,Player A,Left
286,e993f0ad-0664-467b-a5f3-8b678716e2cc,398.776,403.776,Player B Zone 8,Smash,Game 2,Out,Won Point Player A,Opp Forced Error,Player A,Left
287,67cf7e1b-8ce7-4736-8919-7dc195642eaf,404.693,409.693,Player A Zone 5,Serve,Game 2,Player B Zone 8,,,Player A,Right
288,237992f2-6c45-4c36-adea-2bf5b92263d8,406.495,411.495,Player B Zone 8,Drop,Game 2,Player A Zone 1,,,Player A,Right
289,776cf857-b333-41be-90e2-92f2ce2f2c5c,407.447,412.447,Player A Zone 1,Net Shot,Game 2,Player B Zone 3,,,Player A,Right
290,fadabaf4-a6b9-45d3-9238-a4a20860715b,408.57,413.57,Player B Zone 3,Net Shot,Game 2,Player A Zone 3,Won Point Player B,Winner,Player A,Right
291,faa6a58c-9d85-4eb0-bdab-71c6aa990475,412.919,417.919,Player B Zone 5,Serve,Game 2,Player A Zone 2,,,Player B,Right
292,840dcaf8-7ea8-48e5-bf4e-a771836dff81,413.826,418.826,Player A Zone 2,Lift,Game 2,Player B Zone 9,,,Player B,Right
293,5c2fd0cf-b457-487b-84f7-0dd7490c6f4a,415.048,420.048,Player B Zone 9,Drop,Game 2,Player A Zone 1,,,Player B,Right
294,14f5188b-1039-4662-985b-35137ef3780b,415.896,420.896,Player A Zone 1,Net Shot,Game 2,Player B Zone 1,,,Player B,Right
295,d14b8e98-fbcb-45e3-bfed-161d5feeed7f,417.012,422.012,Player B Zone 1,Lift,Game 2,Player A Zone 9,,,Player B,Right
296,008f3951-52d5-4738-af3e-25b63651a2c7,418.266,423.266,Player A Zone 9,Drive,Game 2,Player B Zone 5,,,Player B,Right
297,5b70e178-352c-4f1d-a4c4-136e2367bc9d,419.257,424.257,Player B Zone 5,Drop,Game 2,Player A Zone 3,,,Player B,Right
298,0db174df-e41e-4402-ba03-1977eba7954d,419.746,424.746,Player A Zone 3,Lift,Game 2,Player B Zone 9,,,Player B,Right
299,442b902d-1977-40e4-9ee1-1e862e1f1638,420.916,425.916,Player B Zone 9,Drive,Game 2,Out,Won Point Player A,Opp Forced Error,Player B,Right
300,b773cf73-88f6-48bf-97b1-6239fccfe726,423.829,428.829,Player A Zone 5,Serve,Game 2,Player B Zone 7,,,Player A,Left
301,08570090-ad25-4ae0-b835-b514cbd79e4c,424.691,429.691,Player A Zone 5,Serve,Game 2,Player B Zone 7,,,Player A,Left
302,ba6cb435-d996-405b-a590-a4478f02a04b,426.272,431.272,Player B Zone 7,Clear,Game 2,Player A Zone 6,,,Player A,Left
303,6805d234-f786-4141-b5df-cc7dbf87fe8b,427.351,432.351,Player A Zone 6,Smash,Game 2,Player B Zone 6,,,Player A,Left
304,a35d2f87-ea53-4882-a313-ae687935ff6f,428.096,433.096,Player B Zone 6,Lift,Game 2,Player A Zone 4,,,Player A,Left
305,41a4480c-690c-4efb-b204-e6da3fa690a9,429.021,434.021,Player A Zone 4,Smash,Game 2,Player B Zone 6,,,Player A,Left
306,19c0696e-b96d-46c5-b1c2-7b21e940536e,429.291,434.291,Player B Zone 6,Short Defence,Game 2,Net,Won Point Player A,Opp Forced Error,Player A,Left
